item,food_group,calories,total_fat,sat_fat,cholesterol,sodium,carbs,fiber,sugar,protein,iron,vitamin_a,vitamin_c,wiki,description,color
Apple,fruit,52,0.1,0.028,0,1,13.81,2.4,10.39,0.26,1,1,8,apple,"A common, round fruit produced by the tree <i>Malus domestica</i>, cultivated in temperate climates.",red
Asparagus,vegetable,20,0.1,0.046,0,2,3.88,2.1,1.88,2.2,12,15,9,asparagus,"Any of various perennial plants of the genus <i>Asparagus</i> having leaflike stems, scalelike leaves, and small flowers.",green
Avocado,fruit,160,14.6,2.126,0,7,8.53,6.7,0.66,2,3,3,17,avocado,"The large, usually yellowish-green or black, pulpy fruit of the avocado tree.",green
Banana,fruit,89,0.3,0.112,0,1,22.84,2.6,12.23,1.09,1,1,15,banana,An elongated curved tropical fruit that grows in bunches and has a creamy flesh and a smooth skin.,yellow
Chickpea,grains,180,2.9,0.309,0,243,29.98,8.6,5.29,9.54,17,0,3,chickpea,"An annual Asian plant (<i>Cicer arietinum</i>) in the pea family, widely cultivated for the edible seeds in its short inflated pods.",brown
String Bean,vegetable,31,0.1,0.026,0,6,7.13,3.4,1.4,1.82,6,14,27,green_bean,"A long, slender variety of green bean.",green
Beef,meat,288,19.5,7.731,87,384,0,0,0,26.33,15,0,0,beef,"The meat from a cow, bull or other bovine.",red
Bell Pepper,vegetable,26,0,0.059,0,2,6.03,2,4.2,0.99,2,63,317,bell_pepper,"<i>Capsicum annuum</i>, an edible spicy-sweet fruit, originating in the New World.",green
Crab,fish,87,1,0.222,78,293,0.04,0,0,18.06,4,0,5,callinectes_sapidus,"A crustacean of the infraorder <i>Brachyura</i>, having five pairs of legs, the foremost of which are in the form of claws, and a carapace.",red
Broccoli,vegetable,34,0.3,0.039,0,33,6.64,2.6,1.7,2.82,4,12,149,broccoli,"A plant, <i>Brassica oleracea var. italica</i>, of the cabbage family, Brassicaceae; especially, the tree-shaped flower and stalk that are eaten as a vegetable.",green
Cabbage,vegetable,24,0.1,0.016,0,18,5.58,2.3,3.58,1.44,3,3,54,cabbage,An edible plant (<i>Brassica oleracea var. capitata</i>) having a head of green leaves.,green
Cantaloupe,fruit,34,0.1,0.051,0,16,8.16,0.9,7.86,0.84,1,68,61,cantaloupe,"A melon of species <i>Cucumis melo subsp. melo</i> with sweet orange flesh, with numerous cultivars in several cultivar groups.",orange
Carrot,vegetable,41,0.2,0.037,0,69,9.58,2.8,4.54,0.93,2,336,10,carrot,"A vegetable with a nutritious, juicy, sweet root that is often orange in colour, Daucus carota, especially the subspecies sativus in the family Apiaceae.",orange
Catfish,fish,240,14.5,3.246,69,398,8.54,0.5,0.85,17.57,6,1,1,catfish,"Any fish of the order <i>Siluriformes</i>, mainly found in fresh water, lacking scales, and having barbels like whiskers around the mouth",white
Cauliflower,vegetable,25,0,0.032,0,30,5.3,2.5,2.4,1.98,2,0,77,cauliflower,"<i>Brassica oleracea var. botrytis</i>, an annual variety of cabbage, of which the cluster of young flower stalks and buds is eaten as a vegetable.",white
Celery,vegetable,14,0.1,0.043,0,80,2.97,1.6,1.83,0.69,1,9,5,celery,A European herb (<i>Apium graveolens</i>) of the carrot family.,green
Cheese,dairy,350,26.9,16.609,83,955,4.71,0,3.54,22.21,3,16,0,cheese,A dairy product made from curdled or cultured milk.,yellow
Chicken,meat,237,13.4,3.758,87,404,0,0,0,27.07,7,3,0,chicken,"A domestic fowl, <i>Gallus gallus</i>, especially when young.",white
Clam,fish,180,8,1.601,56,400,11.06,0.5,0.85,14.84,80,6,17,clam,"A bivalve mollusk of many kinds, especially those that are edible; for example the soft-shell clam (<i>Mya arenaria</i>), the hard clam (<i>Mercenaria mercenaria</i>), the sea clam or hen clam (<i>Spisula solidissima</i>), and other species.",white
Cod,fish,211,10.8,2.218,57,401,8.25,0.5,0.82,19.2,5,1,4,cod,"A sea fish, the <i>Gadus morhua</i>.",white
Corn,vegetable,86,1.1,0.182,0,15,19.02,2.7,3.22,3.22,3,4,11,maize,"Maize, a grain crop of the species <i>Zea mays</i>.",yellow
Cucumber,vegetable,12,0.1,0.013,0,2,2.16,0.7,1.38,0.59,1,1,5,cucumber,"A vine in the gourd family, <i>Cucumis sativus</i>.",green
Duck,meat,132,5.9,2.32,77,74,0,0,0,18.28,13,2,10,duck,"An aquatic bird of the family <i>Anatidae</i>, having a flat bill and webbed feet.",red
Flounder,fish,133,4.2,0.867,56,417,0.41,0,0.09,22,2,3,6,flounder,A European species of flatfish having dull brown colouring with reddish-brown blotches.,white
Grapefruit,fruit,32,0,0.014,0,0,8.08,1.1,6.98,0.63,1,19,57,grapefruit,"The tree of the species <i>Citrus paradisi</i>, a hybrid of pomelo (<i>Citrus maxima</i>) and sweet orange.",pink
Grape,fruit,69,0.1,0.054,0,2,18.1,0.9,15.48,0.72,2,1,18,grape,"A small, round, smooth-skinned edible fruit, usually purple, red, or green, that grows in bunches on vines of genus <i>Vitis</i>.",purple
Halibut,fish,239,17.7,3.102,59,103,0,0,0,18.42,5,1,0,halibut,"A large flatfish of the genus <i>Hippoglossus</i>, which sometimes leaves the ocean floor and swims vertically.",white
Haddock,fish,128,3.7,0.69,66,402,0.48,0.1,0.11,22.08,7,4,3,haddock,"A marine fish, <i>Melanogrammus aeglefinus</i>, of the North Atlantic, important as a food fish.",white
Kiwi,fruit,61,0.5,0.029,0,3,14.66,3,8.99,1.14,2,2,155,kiwifruit,"A Chinese gooseberry vine fruit, having a hairy brown skin and dark green (or in the case of the kiwi fruit gold, yellow) flesh with fine black seeds, almost always varieties of <i>Actinidia deliciosa</i>.",green
Lamb,meat,292,20.7,8.756,96,394,0,0,0,24.32,10,0,0,sheep,A young sheep.,red
Lemon,fruit,29,0,0.039,0,2,9.32,2.8,2.5,1.1,3,0,88,lemon,A yellowish citrus fruit.,yellow
Lettuce,vegetable,14,0.1,0.018,0,10,2.97,1.2,1.76,0.9,2,10,5,lettuce,"An edible plant, Lactuca sativa and its close relatives, having a head of green and/or purple leaves.",green
Lime,fruit,30,0,0.022,0,2,10.54,2.8,1.69,0.7,3,1,49,lime_(fruit),"Any of several green citrus fruit, somewhat smaller and sharper-tasting than a lemon.",green
Lobster,fish,97,0.5,0.106,71,700,1.27,0,0,20.33,2,2,0,lobster,"A crustacean of the Nephropidae family, dark green or blue-black in colour turning bright red when cooked, with a hard shell and claws, which is used as a seafood.",red
Milk,dairy,60,3.2,1.865,10,40,4.52,0,5.26,3.22,0,2,0,milk,A white liquid produced by the mammary glands of female mammals to nourish their young.,white
Mushroom,vegetable,22,0.3,0.05,0,5,3.28,1,1.65,3.09,3,0,4,mushroom,Any of the fleshy fruiting bodies of fungi typically produced above ground on soil or on their food sources (such as decaying wood).,brown
Oat,grains,389,6,1.217,0,2,66.27,10.6,0,16.89,26,0,0,oat,"Widely cultivated cereal grass, typically <i>Avena sativa</i>.",brown
Onion,vegetable,42,0,0.026,0,3,10.11,1.4,4.28,0.92,1,0,11,onion,"A monocotyledonous plant (<i>Allium cepa</i>), allied to garlic, used as vegetable and spice.",white
Orange,fruit,47,0.1,0.015,0,0,11.75,2.4,9.35,0.94,1,5,89,orange_(fruit),The fruit of an orange tree; a citrus fruit with a slightly sour flavour.,orange
Oyster,fish,160,7.9,1.848,57,595,12.54,0.5,0.71,9.08,43,5,6,oyster,"Any of certain marine bivalve mollusks, especially those of the family <i>Ostreidae</i> (the true oysters), usually found adhering to rocks or other fixed objects in shallow water along the seacoasts, or in brackish water in the mouth of rivers.",white
Peach,fruit,39,0.2,0.019,0,0,9.54,1.5,8.39,0.91,1,7,11,peach,"The soft juicy stone fruit of the peach tree, having yellow flesh, downy, red-tinted yellow skin, and a deeply sculptured pit or stone containing a single seed.",pink
Pear,fruit,58,0.1,0.006,0,1,15.46,3.1,9.8,0.38,1,0,7,pear,"An edible fruit produced by the pear tree, similar to an apple but elongated towards the stem.",green
Penne,grains,157,0.9,0.175,0,233,30.68,1.8,0.56,5.77,7,0,0,penne,"A type of short, diagonally cut pasta.",white
Pineapple,fruit,48,0.1,0.009,0,1,12.63,1.4,9.26,0.54,2,1,60,pineapple,"A tropical plant, Ananas comosus, native to South America, having thirty or more long, spined and pointed leaves surrounding a thick stem.",yellow
Plum,fruit,46,0.2,0.017,0,0,11.42,1.4,9.92,0.7,1,7,16,plum,"The edible, fleshy stone fruit of <i>Prunus domestica</i>, often of a dark red or purple colour.",purple
Pork,meat,271,17,6.168,90,384,0,0,0,27.34,6,1,1,pork,The meat of a pig; swineflesh.,white
Quinoa,grains,143,2.2,0.226,0,196,26.35,2.3,0,5.01,20,0,0,quinoa,A goosefoot (<i>Chenopodium quinoa</i>) native to the Andes and cultivated for its edible seeds.,brown
Brown Rice,grains,110,0.8,0.179,0,301,22.78,1.8,0.35,2.56,2,0,0,brown_rice,Rice with the brownish hull not polished off as in white rice.,brown
Salmon,fish,171,7.5,1.312,62,467,0.49,0,0.11,23.97,5,5,4,salmon,"One of several species of fish, typically of the <i>Salmoninae</i> subfamily, brownish above with silvery sides and delicate pinkish-orange flesh; they ascend rivers to spawn.",pink
Scallop,fish,217,10.9,2.216,54,487,10.49,0.5,0.82,18.14,5,2,4,scallop,Any of various marine bivalve molluscs of the family <i>Pectinidae</i> which are free-swimming.,white
Shrimp,fish,144,2.3,0.446,206,613,1.24,0,0,27.59,16,4,3,shrimp,"Any of many swimming, often edible crustaceans, chiefly of the infraorder <i>Caridea</i> or the suborder <i>Dendrobranchiata</i>, with slender legs, long whiskers and a long abdomen.",pink
Sour Cream,dairy,214,20.9,13.047,44,53,4.27,0,0.16,3.16,0,13,2,sour_cream,"Cream which has been treated with a benign bacterium to turn it slightly sour, often used as a condiment, or a topping for baked potatoes.",white
Strawberry,fruit,32,0,0.015,0,1,7.68,2,4.66,0.67,2,0,98,strawberry,"The sweet, usually red, edible fruit of certain plants of the genus <i>Fragaria</i>.",red
Sweet Potato,vegetable,86,0,0.018,0,55,20.12,3,4.18,1.57,3,284,4,sweet_potato,"A tropical perennial American vine, <i>Ipomoea batatas</i>, having a fleshy tuber.",orange
Swordfish,fish,177,8.2,1.959,47,494,0.49,0,0.11,23.8,5,5,5,swordfish,"A large marine fish with a long, pointed bill, <i>Xiphias gladius</i>.",white
Tangerine,fruit,53,0.3,0.039,0,2,13.34,1.8,10.58,0.81,1,14,45,tangerine,Any of several varieties of mandarin oranges.,orange
Tomato,vegetable,18,0,0.046,0,5,3.92,1.2,2.63,0.88,2,17,21,tomato,"A widely cultivated plant, <i>Solanum lycopersicum</i>, having edible fruit.",red
Tuna,fish,153,3.9,0.811,53,366,0.41,0,0.09,27.3,5,3,4,tuna,Any of several species of fish of the genus <i>Thunnus</i> in the family <i>Scombridae</i>.,red
Turkey,meat,187,7,1.999,77,69,0,0,0,28.9,8,0,0,turkey_(bird),Either of two species of bird in the genus <i>Meleagris</i> with fan-shaped tails and wattled necks.,white
Potato,vegetable,104,2,0.458,0,254,19.36,1.7,0.82,1.66,2,2,12,potato,"A plant tuber, <i>Solanum tuberosum</i>, eaten as a starchy vegetable, particularly in the Americas and Europe.",white
Yogurt,dairy,99,1.1,0.742,5,53,18.64,0,18.64,3.98,0,1,1,yogurt,"A milk-based product stiffened by a bacterium-aided curdling process, and sometimes mixed with fruit or other flavoring.",white
